# Real device fixtures: <expected device type>\t<agent>.
#
# Nothing here is a bot. That is the point: bot detection leans on generic
# tokens, and this file is the precision half of the bargain, sampled across the
# distinct shapes of the source set so the browsers, phones, feature phones and
# consoles of twenty years all get a say. TestDeviceFixturesAreNotBots asserts
# no row reads as a crawler; the device type is asserted where we claim one.
#
# Agent strings collected from the sources credited in testdata/NOTICE.md and
# redistributed under their licences. The expectations beside them are this
# project's own: a row is a claim about what the agent means, not a snapshot of
# whatever the parser said the day it was written.

Phone	ABC NP3/4.3.397 version 6.3.10b4.1, build 397 (Android SDK built for x86; google Android SDK built for x86; Android 10)
Phone	ABC/4.3.392 version 6.2.15, build 392 (moto g play (2021); motorola moto g play (2021); Android 11) AppleWebKit
Phone	AMOI M8228 Linux/3.0.13 Android/4.0.4 Release/11.06.2012 Browser/AppleWebKit534.30 Profile/MIDP-2.0 Configuration/CLDC-1.1 Mobile Safari/534.30 Android 4.0.1;
Unknown	AMOI-V810 NetFront/3.2
Unknown	ASUS Transformer Pad TF300TL; 4.1.1; JRO03C.WW_epad-10.4.3.9-20121106; de-ch
Unknown	ASUS-V55/1.0
Unknown	AiMeiTuan /samsung-2.3.6-GT-I9050-800x480-240-4.1.2-116-351910054299883-dianshi1
Unknown	Alcatel-BE5/1
Unknown	Alcatel-BH4/1.0
Unknown	Alcatel-E5/1.0 UP.Browser/7.0.2 (GUI) MMP/2.0
Unknown	Alcatel-M5/1.0 UP.Browser/7.1 (GUI) MMP/2.0
Unknown	Alcatel-OT-216/1.0 ObigoInternetBrowser/Q03C
Unknown	Alcatel-OT-600A/1.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 ObigoInternetBrowser/Q03C
Unknown	Alcatel-OT-800X/1.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 ObigoInternetBrowser/Q05A
Unknown	Alcatel-OT-C551/1.0 UP.Browser/7.1 (GUI) MMP/2.0 UP.Link/6.3.0.0.0
Unknown	Alcatel-OT-C750/1.0 UP.Browser/7.1 (GUI) MMP/2.0
Unknown	Alcatel-OT-S215A/1.0 ObigoInternetBrowser/Q03C
Unknown	Alcatel-OT-V570/1.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 ObigoInternetBrowser/Q03C
Unknown	Alcatel-OT-v770A/1.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 ObigoInternetBrowser/Q03C
Unknown	Amoi-A320/Plat-F-VIM/WAP2.0 UP.Browser/6.2.2.7.c.1.101 (GUI) MMP/1.0
Unknown	Amoi-CA8/1.0 UP.Browser/6.2.2.5 (GUI) MMP/1.0
Unknown	Amoi-E5/(2006.10.21)SW1.0.2/WAP2.0 Profile/MIDP-2.0 Configuration/CLDC-1.1
Unknown	Amoi-M350/Plat-V-VIM/WAP2.0/MIDP2.0/CLDC1.0 UP.Browser/6.2.3.3 (GUI) MMP/2.0
Unknown	Amoi-S6/1.0 UP.Browser/5.0.3.2 (GUI)
Phone	Android 17 - samsung meliuslte
Phone	Android 2.3.5;AppleWebKit/533.1;Build/HuaweiM650;M650 Build/HuaweiM650
Phone	Android 2.3.6;AppleWebKit/525.10;Build/HuaweiU8680;T-Mobile myTouch Build/HuaweiU8680
Phone	Android 2.3.6;AppleWebKit/533.1;Build/GRK39F;LG p720h Build/GRK39F
Phone	Android 2.3.6;AppleWebKit/533.1;Build/HuaweiU8680;Phoenix Build/HuaweiU8680
Phone	Android 2.3.7;AppleWebKit/533.1;Build/MIUI;Axioo Vigo 410 Build/MIUI
Phone	Android 4.0.3;AppleWebKit/534.30;Build/HuaweiT8830;T8830 Build/HuaweiT8830
Phone	Android 4.0.3;AppleWebKit/535.19;Build/HuaweiU8666N;HUAWEI U8666N Build/HuaweiU8666N
Phone	Android 4.0.4;AppleWebKit/530.17;Build/HuaweiU8836D;U8836D Build/HuaweiU8836D
Phone	Android 4.0.4;AppleWebKit/534.30;Build/HuaweiU9202L;U9202L-1 Build/HuaweiU9202L
Phone	Android 4.0.4;AppleWebKit/534.30;Build/IMM76I;Karbonn A9 Build/IMM76I
Phone	Android 4.0.4;AppleWebKit/535.19;Build/HuaweiU8950-1;HUAWEI U8950-1 Build/HuaweiU8950-1
