# Connected TV fixtures: <expected device>\t<expected OS>\t<agent>.
#
# Every row is a television, a stick or a set top box. The OS expectation comes
# from the platform token the agent states about itself - "Tizen 6.0", "Web0S",
# "Roku/DVP-", "AppleTV6,2" - or from Android where the device is an Android TV
# or a Fire TV, which is what makes these rows worth asserting: the device type
# and the OS have to survive together.
#
# Agent strings collected from the sources credited in testdata/NOTICE.md and
# redistributed under their licences. The expectations beside them are this
# project's own: a row is a claim about what the agent means, not a snapshot of
# whatever the parser said the day it was written.

TV	TvOS	AppleCoreMedia/1.0.0.12F69 (Apple TV; U; CPU OS 8_3 like Mac OS X; en_us)
TV	TvOS	AppleTV/1.1
TV	Unknown	GoogleTV/092754 youtube.com/tv#
TV	Android	GoogleTV/234.0 AndroidTV/234.0
TV	Unknown	GoogleTV/b70199 Silk-Accelerated=true
TV	Unknown	HbbTV/1.1.1 (+PVR;Humax;HD FOX+;1.00.12;1.0)CE-HTML/1.0 ANTGalio/3.1.1.23.04.09
TV	Unknown	HbbTV/1.1.1 (+PVR;Panasonic;DIGA WebKit M8158;3.300;;)
TV	Unknown	HbbTV/1.1.1 (; ; ; 1.0; 1.0;) NetFront/4.1
TV	Unknown	HbbTV/1.1.1 (; CUS:; MB70; 1.0; 1.0;) LOH; Opera; CE-HTML/1.0 NetFront/4.1
TV	Unknown	HbbTV/1.1.1 (; CUS:MEDION; MB70; 1.0; 1.0;) LOH; Opera; CE-HTML/1.0 NetFront/4.1 NETRANGEMMH
TV	Unknown	HbbTV/1.1.1 (; CUS:OEM; MB70; 1.0; 1.0;) LOH; Opera; CE-HTML/1.0 NetFront/4.1 NETRANGEMMH iplayerV3
TV	Unknown	HbbTV/1.1.1 (; CUS:PEAQ; MB70; 1.0; 1.0;) LOH; Opera; CE-HTML/1.0 NetFront/4.1 NETRANGEMMH
TV	Unknown	HbbTV/1.1.1 (; CUS:VESTEL; MB70; 1.0; 1.0;) LOH; Opera; CE-HTML/1.0 NetFront/4.1 NETRANGEMMH iplayerV3
TV	Unknown	HbbTV/1.1.1 (; ST; FLTk3D; 1.0; 1.0;) NetFront/3.5
TV	Unknown	HbbTV/1.1.1 (;;;;;) Maple_2011
TV	Unknown	HbbTV/1.1.1 (;;;;;) firetv-firefox-plugin 1.1.20
TV	Unknown	HbbTV/1.1.1 (;HyperPanel;hytv;;;) NetFront/3.5
TV	Unknown	HbbTV/1.1.1 (;Metz;MMS;;;) CE-HTML/1.0
TV	Unknown	HbbTV/1.1.1 (;Panasonic;VIERA 2011;f.532;0071-0802 2000-0000;)
TV	Unknown	HbbTV/1.1.1 (;Panasonic;VIERA 2012;1.261;0071-3103 2000-0000;)
TV	Unknown	HbbTV/1.1.1 (;Samsung;SmartTV2012;;;) WebKit
